learning_rate,n_estimators,max_depth,rmse
0.01,1000,3.0,0.0633545853921734
0.01,1000,2.0,0.06370621494526901
0.05,1000,3.0,0.06435213943456201
0.1,100,2.0,0.0643909374708013
0.05,500,2.0,0.06443544442372932
0.01,1000,1.0,0.0647313370650866
0.05,500,1.0,0.06479646889006961
0.05,100,2.0,0.06481106502198787
0.1,1000,3.0,0.064836992682775
0.1,500,3.0,0.06483699268277561
0.05,500,3.0,0.06506298296566826
0.01,500,3.0,0.06557800758861733
0.01,500,2.0,0.06590800692733355
0.1,100,3.0,0.06610119171679035
0.1,100,1.0,0.06618485037864778
0.1,500,2.0,0.06627374874691658
0.1,500,1.0,0.06647104498585164
0.05,1000,1.0,0.06687367361789938
0.05,1000,2.0,0.06689895357821919
0.1,1000,2.0,0.06695606834287925
0.05,100,3.0,0.06770556158722314
0.1,1000,1.0,0.06983516227889973
0.01,1000,5.0,0.06991234577833405
0.1,1000,5.0,0.06994329661523427
0.1,500,5.0,0.06994329661523517
0.1,100,5.0,0.07009394298661314
0.01,500,1.0,0.07054769533360244
0.05,100,1.0,0.07067273543918907
0.05,1000,5.0,0.07184158040047141
0.05,500,5.0,0.07184158040209752
0.05,100,5.0,0.07310769523554245
0.01,500,5.0,0.07404652863713743
0.05,100,,0.07645883326218293
0.1,10,2.0,0.07647655353370694
0.1,10,3.0,0.07647949096214791
0.001,1000,2.0,0.07664928867380132
0.01,100,2.0,0.07665021390712018
0.001,1000,3.0,0.07668747829317449
0.01,100,3.0,0.07671305391565734
0.01,1000,,0.07687634677421
0.01,500,,0.07689969862021835
0.1,10,1.0,0.076925896910078
0.05,1000,,0.07696198087010883
0.05,500,,0.07696198087049846
0.001,1000,1.0,0.07699491792972459
0.01,100,1.0,0.0770094087450222
0.1,1000,,0.0770626665087859
0.1,500,,0.07706266650878596
0.1,100,,0.07706343263862088
0.05,10,2.0,0.07710218402871817
0.05,10,3.0,0.077112592703156
0.001,500,3.0,0.07715459260369943
0.001,500,2.0,0.07716310766807406
0.1,10,5.0,0.07718009908226296
0.001,1000,5.0,0.07722771411448275
0.01,100,5.0,0.07728655365933129
0.05,10,1.0,0.0772962486970673
0.001,500,1.0,0.07729723725260648
0.05,10,5.0,0.07732220150497736
0.001,500,5.0,0.07734717525465315
0.001,500,,0.07745260763067062
0.001,1000,,0.07745304696560928
0.05,10,,0.0774535485132806
0.01,10,3.0,0.07746211121768307
0.001,100,3.0,0.07746933111144205
0.01,100,,0.07747060753834598
0.01,10,2.0,0.07747076000232073
0.001,100,2.0,0.07747583138891775
0.1,10,,0.07748725784958414
0.01,10,5.0,0.07748815175506257
0.001,100,5.0,0.07749453080500444
0.001,100,1.0,0.07750501617688411
0.01,10,1.0,0.07751001167302662
0.001,100,,0.07751614800522175
0.01,10,,0.07751617528316206
0.001,10,3.0,0.07755424861371363
0.001,10,2.0,0.07755541055759914
0.001,10,5.0,0.07755658028383264
0.001,10,,0.07755870930435886
0.001,10,1.0,0.07755943044047149
