max_features,n_estimators,max_depth,rmse
sqrt,1000,,0.06073564158622423
sqrt,500,5.0,0.06097655497699003
sqrt,500,,0.061047129995653183
sqrt,100,5.0,0.06117627271310742
sqrt,1000,5.0,0.06134351943515242
sqrt,100,,0.06134803449741557
log2,10,,0.06169117243674681
log2,500,,0.06180844182192245
sqrt,10,5.0,0.061974494088933164
sqrt,100,3.0,0.062005808309877
log2,1000,,0.06203291645435949
sqrt,500,3.0,0.062175754464161605
sqrt,10,3.0,0.06217976129706949
sqrt,1000,3.0,0.06219636379409718
log2,100,,0.06230543486016893
log2,500,5.0,0.06233234182936975
log2,1000,5.0,0.06241631500920479
log2,100,5.0,0.06257886589898076
sqrt,100,2.0,0.06361670555655376
sqrt,500,2.0,0.06373545312047924
sqrt,1000,2.0,0.0637728546671703
log2,100,3.0,0.06429453326511869
log2,1000,3.0,0.06468968335326983
log2,500,3.0,0.06470850635537276
sqrt,10,2.0,0.06594955135137216
log2,500,2.0,0.06722477184111071
log2,10,3.0,0.06738698301735682
log2,1000,2.0,0.0674906448578818
log2,100,2.0,0.06755521132095205
log2,10,5.0,0.0675773758270535
sqrt,10,,0.06797373574827481
sqrt,100,1.0,0.06820531836149211
sqrt,500,1.0,0.06836595038758514
sqrt,1000,1.0,0.06840376959451136
log2,10,2.0,0.06867904505289645
sqrt,10,1.0,0.06930637176777066
log2,10,1.0,0.07134435854463819
log2,500,1.0,0.07173551065381521
log2,1000,1.0,0.07185192066063516
log2,100,1.0,0.07193772952849341
